"id_unique";"objet"
"YJ3HSBBW4G";"evaluation des exonerations de charges sociales et fiscales liees a des projets d'implantations d'entreprises dans le departement des ardennes eco gbe"
"SKPCUM9N9O";"prestation d'evaluation de la capacite des structures  ayant beneficie d'une aide a la creation ou a la perennisation d'un poste  dans le cadre des  emplois tremplins pour le territoire  a nantes"
"26ACJXWIOX";"evaluation environnementale du sage allier aval lot1 et assistance juridique  technique et methodologique a la redaction du sage allier aval et de ses documents annexes lot2 "
"41D7N6RM1O";"etude pour l'evaluation du poids economique du tourisme sur la destination la baule   presqu'ile de guerande  "
"XW2FOUJESU";"le marche a pour objet une assistance a maitrise d'ouvrage sur l'evaluation des programmes operationnels europeens et des contrats de projets etat regions pour la periode 2007 2013 "
"QWZLZIUKN0";"plan departemental pour l'emploi : evaluation  preconisations d'actions et organisation d'assises pour l'emploi pour le conseil general du val de marne a creteil"
"YVVI9D64VH";"evaluation finale du fsp 04 33sep"
"DAMEW1HV4E";"evaluation de la gestion des donnees techniques a l'agence de l'eau loire bretagne a orleans 45"
"WV3Q1FBOQ9";"marche de prestations intellectuelles en lot unique relatif a l'evaluation de l'experimentation limousine d'accompagnement vers la recherche europeenne eliare a limoges"
"GBGXRWHO3H";"evaluation finale du fsp 2006 58 pares tunisie"
"7KT35WWEJ3";"prestation de service de consultant pour la mise en place d'un protocole organisationnel du projet d'etablissement et d'un accompagnement a l'evaluation du centre e  bouissonnade a montpellier cedex 1"
"XS6Z448GSC";"prestations d'evaluation et d'actualisation de l'agenda 21 de la ville de narbonne a narbonne"
"CJ34IBZED7";"consultation 38 2 2012 evaluation fsp 2009 10 mali"
"CHQ9L7ZNY8";"evaluation finale du projet fsp 07 12 valofrase"
"KEC1BJMG47";"evaluation environnementale du sage allier aval et assistance juridique  technique et methodologique a la redaction du sage allier aval et de ses documents annexes "
"ZEED1WAH20";"realisation d'une etude portant sur l'evaluation de la manifestation imaginez maintenant en partenariat avec le haut commissaire a la jeunesse a paris"
"DZ6P0YSPL2";"evaluation de l'accord cadre d'objectifs et de moyens en faveur de la modernisation et du developpement de l'apprentissage 2005 2009 pourregion ile de france a paris"
"HSVEO2PD05";"evaluation des effets du dispositif de soutien public a l'exportation sur les performances a l'export des entreprises beneficiaires a paris"
"OHN9CZ2KC8";"etudes sur l'evaluation du programme de sante des jeunes et le developpement des actions d'education a la sante en languedoc roussillon pour le c r a montpellier"
"QVRRY3HK24";"evaluation relative a la competitivite des filieres et aux contrats d'aide a la competitivite du projets etat region et le programme operationnel competitivite regionale et emploi feder 2007 2013"
"X79109A4DH";"rectificatif avis 10 264350 mis en ligne sur ce site du 07 12 2010 au 03 01 2011  amo pour une etude evaluative de l'experimentation du service d'accueil et d'information generaliste sur la formation"
"KG70SQDH2S";"evaluation environnementale du plan departemental de prevention et de gestion des dechets non dangereux a colmar"
"3N4FSMHR4V";"etude portant sur l'evaluation des poles de competitivite a paris"
"GB1GNKCLCH";"prestations d'evaluation dans le cadre de l'amenagement du logement pour le conseil general de la moselle a metz"
"RR1WKND5Z2";"action d'evaluation en direction des entrants dans le dispositif rsa dans le departement de loir et cher"
"NC1B3CPH4C";"evaluation des projets de recherche finances depuis 2006 par la region des pays de la loire dans le cadre de l'appel a projets recherche annuel a nantes"
"QLTN2M4HLF";"75 prestation pour la realisation d'une etude et pour une amo relatives a l'evaluation des politques des poles de competitivite et des grappes d'entreprises a paris"
"G8DD7GV9LT";"accord cadre multi attributaires pour la mise en place d'un dispositif d'evaluation et de detection de potentiel a lille"
"JY1FZHNXCX";"etude de l'etat initial de l'environnement et evaluation environnementale du schema de coherence territoriale a rouen"
"ACPKG679SB";"realisation d'une infrastructure technique de la campagne d'evaluation repere reconnaissance de personnes dans des emissions audiovisuelles  pour le mindef a arcueil"
"XTOH9HZ8S1";"audit evaluatif de l'intervention regionale dans le cadre des programmes de cooperation territoriale europeenne  a charbonnieres les bains"
"H6DNGXXGPI";"reflexion prospective et evaluative sur l'impact societal de la grande operation d'urbanisme pour l'epa a choisy le roi rectificatif"
"7VJMWI4F0S";"evaluation de l'action europeenne et internationale de la region basse normandie pour le conseil regional basse normandie a caen"
"2N0SECA90I";"etude relative a l'evaluation a mi parcours de la strategie regionale integree et des programmes europeens 2007 2013 a la reunion"
"6JUA6RC80W";"evaluation du dispositif national de prise en charge par l'assurance maladie des substituts nicotiniques a paris"
"SHW05UCMMG";"aide a l'elaboration du rapport d'evaluation de l'agence de l'eau loire bretagne a orleans"
"8VQ59GWRC6";"evaluation  du point de vue du developpement durable  des operations d'amenagement urbain a paris"
"T62FLN3X14";"evaluation du zonage afr pour la periode 2006 2013 a paris"
"VKBGJIM5HA";"mission d'evaluation et d'elaboration du programme local de l'habitat incluant une demarche approche environnementale de l'urbanisme a offranville"
"8SPGR7QNIR";"evaluation des benefices d'une mobilite internationale sur l'insertion professionnelle et sur l'activite des entreprises regionales"
"X5N7QLYKJU";"mission d'evaluation relative a la creation du chantier multimodal du grand port maritime et a la mise en place d'un systeme de controle commande dans la zone de port 2000 au havre"
"9TAVU1LOL4";"prestation de mesure et d'evaluation des services a la personne pour le compte de l'agence nationale des services a la personne a paris"
"8VYUJHXAO2";"a11 15 mission d'accompagnement a l'evaluation des politiques publiques de la capa a ajaccio"
"UME846WG05";"bilan evaluatif de l'appel a projets territoires remarquables de montagne a lyon cedex 02"
"2S8LNH35HI";"evaluation du reseau pluridisciplinaire de territoire bien etre et sante en baie a caen"
"HPAW7FVILL";"evaluation environnementale du projet de charte du parc national de la reunion a saint denis"
"Q56ZB9WG96";"le marche a pour objet la realisation d'une mission d'evaluation  de conseil et d'assistance sur les aides apportees par la ville de dreux aux associations sportives "
"IXDIA2Q5EZ";"dispositif d'evaluation et de developpement individuel et collectif du vivier hauts potentiels et des cadres superieurs de la caisse des depots et consignations a paris"
"8XICJ5TBOI";"etude evaluative de la politique familiale jeunesse : experimentations adolescents pour le cnaf a paris"
"JLZDESN8YW";"mission d'evaluation de l'operation programmee d'amelioration thermique et energetique des batiments engagee par la collectivite sur le territoire de cannes la bocca rectificatif"
"A52EDX2AYK";"evaluation du processus de relogement ou de non relogement des menages ayant recu une reponse positive de la part des commissions de mediation suite a leur demande de logement a paris"
"GTAVEHKGYD";"etude de trafic et evaluation socio economique du projet de liaison fluviale saone moselle saone rhin pour les vnf a bethune"
"FEO1D8RA9X";"evaluation de la visite de prevention des beneficiaires de l'ame"
"QPWVLLJ8FJ";"mission de suivi animation et d'evaluation : opah et dispositif de soutien a la rehabilitation thermique du parc prive hors opah "
"AWQUC7OJNX";"realisation de l'evaluation des partenariats dans le cadre des dispositifs destines aux jeunes a evry"
"4CTCVRSSZQ";"action experimentale d'accompagnement des instituts de formation du secteur sanitaire et social sur la thematique  evaluation du projet pedagogique  a lille"
"YDBL7F2J30";"marche de prestations de services pour l'evaluation prealable d'un contrat de partenariat et d'assistance au pilotage a bobigny"
"2FFXKIJD1B";"prestations intellectuelles pour realisation de l'evaluation environnementale du projet de plu de la commune de sainte tulle "
"54GB4IIYO5";"evaluation de l'activite des services communautaires et accompagnement de la strategie de changement"
"9T5G8PKFN8";"evaluation environnementale et appui a l'elaboration des scenarios et a la determination d'une strategie globale du sage vistre  nappes vistrenque et costieres"
"Y8GB8N4STF";"realisation de formations a l'evaluation des politiques publiques d'aide au developpement et a l'evaluation des projets de cooperation"
"MOL2F4HYR0";"mise en place des moyens de mesure ou d'evaluation des prelevements et des rejets d'eau pour l'alimentation en eau de canaux pour le compte de vnf a paris"
"HXE9WZ46F1";"evaluation portant sur le partenariat de cooperation porto novo  grand lyon et lyon benin a paris"
"JRNYGIM444";"mission d'assistance a l'elaboration de l'evaluation du contrat urbain de cohesion sociale 2007 2009 du gpv de venissieux  a venissieux cedex"
"TE353E73CZ";"etudes  realisation et experimentation de traitements de fusion de l'information et du renseignement multi sources futhane   fusion technique de haut niveau et evaluation a bagneux"
"P597355WL5";"evaluation de la cooperation franco marocaine autour de la mise en place de la couverture medicale de base "
"923ITZJQU1";"etude d'evaluation qualitative des travaux d'amenagement du lido du petit et du grand travers 34"
"VKD8Q4MW2Z";"evaluation relative aux salles de cinema en region haute normandie a rouen cedex 1"
"16H5EQ5MG0";"mission d'accompagnement pour l'evaluation du contrat urbain de cohesion sociale cucs de l'agglomeration clermontoise"
"TP2P0RVPSQ";"realisation de l'evaluation finale du projet fsp03 56  echel eau applications aux bassins du limpopo  du mekong et du niger : "
"JLF8D9TQZG";"etude prospective d evaluation et de definition de la strategie de developpement de l universite de la reunion  a saint denis messagerie cedex 9"
"J7APR106VV";"etude de marche tertiaire a amienstranche ferme : etude du potentiel du marche tertiaire amienois   tranche conditionnelle : suivi et evaluation des preconisations formulees a amiens"
"NQ9G3WHCY0";"etude portant sur l'evaluation du relogement des menages du 8 10 12 rue gaston monmousseau quartier pierre semard a saint denis 93 a saint denis"
"CT2Q9CGVYB";"evaluation du projet urbain de cohesion sociale"
"FF766C8LZF";"evaluation a mi parcours du cper et po feder des pays de la loire 2007 2013 a nantes cedex 1"
"IFEPTSCYCH";"realisation d'une etude evaluation portant sur les experiences de mutualisation d'emplois culturels en aquitaine"
"RQHW26ICKV";"prestation de formation action et accompagnement d'une auto evaluation des ecoles et des centres de formation de l'ap hp"
"ZI5Y7LVUX4";"etude clinique portant sur un programme hospitalier de recherche clinique phrc intitule  evaluation de l'impact de la reanimation sur des pathologies ciblees   aom04056 a paris cedex 04"
"XZOU9TAM18";"evaluation du contrat urbain de cohesion sociale de l'agglomeration nantaise "
"LWALCNV2IJ";"evaluation du cper 2007 2013 en lien avec le programme operationnel feder   definition et mise en oeuvre du programme et de methodologie et assistance a la mise en oeuvre "
"WAEEB2ZU5U";"evaluation du contrat urbain de cohesion sociale 2007 2009 a quimper cedex"
"WU164JS2Z9";"etude de bilan  d'evaluation et de prospective du contrat de rivieres joyeuse  chalon et savasse  a romans sur isere cedex"
"OAEGP13BCT";"evaluation de la convention triennale de partenariat et de financement 2007 2009 signee par l'asso  agence culturelle d'alsace aca  les departements du bas rhin et du haut rhin et la region alsace"
"58PX3506DH";"marche de prestations intellectuelles relatif a l'evaluation des organismes et reseaux du massif central a limoges"
"QN7I2TTAV0";"assistance a maitrise d'ouvrage pour une amelioration du dispositif d'evaluation de la formation professionelle continue a nantes"
"C67KOSM4RX";"definition  mise en place et evaluation d'un demonstrateur de detecteur et de brouilleur d'optiques pointees dop bop a bagneux"
"AHNPACP3BH";"evaluation des cartes de maladies rares"
"0QC4EW8UX5";"mission d'assistance a l'elaboration de l'evaluation du contrat urbain de cohesion sociale 2007 2009 du gpv de venissieux  a venissieux cedex"
"AEYAQVBMVY";"la consultation a pour objet l'evaluation de la mise en oeuvre du plan regionale de sante publique d'ile de france qui couvre la periode 2006 a 2010 "
"NL6AWATQFR";"assistance a la mise en oeuvre de jurys citoyens pour l'evaluation de l'action regionale en matiere d'aides aux entreprises et aux entrepreneurs  et de mobilite et transports"
"V0LY4ELXPQ";"evaluation des dotations de la france au fonds africain de developpement et a la banque africaine de developpement   lieux : france et tunisie"
"ZLTU8M60N5";"evaluation de la convention triennale 2006 2008 passee entre le departement et la chambre d'agriculture d'ille et vilaine"
"NU034EB3FK";"missions d'assistance pour le suivi et l'evaluation de la zone franche urbaine a reims"
"KSISZX59DA";"organisation du seminaire national papi : evaluation et mise en oeuvre d'un nouveau dispositif   le 18 11 09 a paris au museum national d'histoire naturelle"
"EDCC62KMU3";"evaluation securite plate forme pilae a saint quentin en yvelines"
"2V3LZ8WPXT";"evaluation de la fonction linge d un etablissement pour personnes agees du centre communal d action sociale a toulon"
"CXYAECZYAA";"evaluation du dispositif relatif a la creation des postes d'intervenants sociaux en services de police et groupements de gendarmerie a saint denis la plaine"
"6TCY1EIIM6";"evaluation environnementale du scot du pays de chalons en champagne a chalons en champagne"
"CI945NGBEG";"suivi evaluatif de la politique regionale d'achat et de renovation de materiel roulant ferroviaire de la region rhone alpes a charbonnieres les bains"
"MVNFCOXB3F";"etude d'evaluation et de developpement de l'extranet prevencol  et des sites internet cot dechets et optigede a angers"
"4O8XPLU4F6";"enqete  evaluation et restitution des interventions financees et conduites par l'acse en faveur du lien social a paris"
"8W62U69WMC";"missions de prefiguration et d'evaluation d'emissions de television participative  pour la region picardie"
"YVU72MM5OC";"etude pour l'evaluation du plan de sauvegarde et de mise en valeur du secteur sauvegarde de vannes"
"EVCEZ38JTY";"prestation d'appui a la gestion et a l'animation du dispositif de formation linguistique de l'acse et realisation de bilans de prescription et d'evaluation linguistique "
"IUDETN4Z51";"caracterisation et evaluation des parametres hydromorphologiques des lagunes du bassin rhone mediterranee et corse dans le cadre de la dce  pour l'agence eau rhone mediterranee et corse"
"HWISYKDHJX";"evaluation et capitalisation de l'accord cadre et des marches engages en 2007 et en 2008  formation sur la prevention et lutte contre les discriminations pour l'egalite  pour l'ancse a paris"
"78M1CVGXCB";"evaluation prealable en vue de la passation de contrats de partenariat pour la construction et la maintenance de 4 colleges a metz"
"G3UI4IAYW7";"appel a projet : creation de deux centres locaux d'information et de coordination c l i c  de niveau 2 evaluation des besoins et elaboration d'un plan d'aide a charleville mezieres"
"JJ1VADEI3T";"etude d'evaluation de l'experimentation de la mise a disposition d'ouvrages sous droits via le portail de la bnf gallica 2"
"UVAKMWHAAI";"etude d'evaluation environnementale des orientations d'amenagement du plan de sauvegarde et de mise en valeur du secteur sauvegarde a beziers cedex"
"RXXWF59H02";"evaluation d'un programme d'actions menees aupres des services de medecine du travail en ile de france axees sur la prevention et la prise en compte du risque cancerogene dans les entreprise"
"JALX3SMVWY";"evaluation du dispositif relatif a la mise en oeuvre du civis en faveur des jeunes places sous main de justice a saint denis la plaine"
"NVFD0ZRK5S";"mission d'evaluation relative a la mise en oeuvre des projets oru sur la commune d'angouleme et de soyaux"
"IGCM3V3JWB";"creation d'un centre local d'information et de coordination  c l i c  de niveau 2 evaluation des besoins et elaboration d'un plan d'aide a charleville mezieres"
"SOTDN5IHCS";"evaluation du systeme regional global de l'innovation en aquitaine"
"95GK3BFS94";"aide a l'evaluation financiere de l'indemnisation suite a la resiliation d'un bail commercial et a la relocalisation de la banque alimentaire du rhone"
"9DHPQI33SH";"prestation d'etude sur l'evaluation du volet formation du plan regional d'appui a la transmission d'entreprise en aquitaine"
"IUC6K7JBGI";"realisation d'une enquete de satisfaction des prestations fournies par le gip spsi a son reseau et evaluation des attentes"
"YA58EAOOZH";"etude sur les besoins en personnel des colleges du morbihan et creation d'une base de donnees informatique permettant l'evaluation des effectifs a mettre en place a vannes"
"W97OEW3YII";"prestation d'evaluation de dispositifs de l'enfance famille en meurthe et moselle"
"NUQ6DQ86ZR";"evaluation des couts des projets profils pour trois types d'operations de rehabilitation lourde  pour l'agence nationale de l'habitat a paris"
"I24XWCECCH";"evaluation environnementale du scot de l'odet a quimper"
"6A757H6Z9I";"mission d'evaluation et de prospective des prestations informatiques actuelles et des perspectives du sih et de son organisation a auxerre cedex"
"M8LMGLU4HJ";"evaluation du cucs de saint fons"
"6HKMTVBV43";"evaluation du contrat urbain de cohesion sociale de l'agglomeration du calaisis a calais"
"VHDQIM9XIN";"mission d'evaluation de la fonction tete de reseau de l'apca a paris"
"AAYDB1GORB";"realisation d'une mission d'evaluation du dispositif contrat urbain de cohesion sociale c u c s  de la ville de langres pour la periode 2007 2009"
"0PWSGC70VB";"mission de conseil en programmation culturelle et d'evaluation des equipements culturels de la ville de saint dizier  a saint dizier cedex"
"PTP8BF4OJ7";"evaluation du 5eme plan local d'habitat du grand nancy a nancy"
"LZ0U822Z6B";"evaluation du document cadre de partenariat signe en 2006 entre la france et l'union des comores 2006 2010 pour le ministere des affaires etrangeres a paris"
"JFFWMCF7LU";"evaluation des programmes de cooperation decentralisee menes par lille metropole communaute urbaine au liban pour la periode 2005 a 2008"
"X6LJPIOU8S";"realisation d'une prestation d'assistance au comite d'evaluation du conseil general de l'environnement et du developpement durable cgedd a la defense"
"C0A5B4UYAD";"prestations d'evaluation du parc des dispositifs medicaux resterilisables du chru de lille et modelisation de la logistique"
"EDYHGLY2SX";"evaluation des exonerations de charges sociales et fiscales liees a des projets d'implantations d'entreprises dans le departement des ardennes a charleville mezieres"
"69XCR50PE3";"realisation d'enquetes pour l'evaluation economique des benefices associes au bon etat des masses d'eau a orleans"
"RPYJ09NVPT";"mission d'evaluation du  plan pme outre mer   volets competitivite  innovation et acces aux financements pour le compte du ministere charge de l'outre mer a paris"
"R9TXDAUC8M";"evaluation des actions du plan de relance pour l'habitat prive au profit de l'anah"
"MGXICJ6XLT";"evaluation a mi parcours du programme interreg 4a de cooperation transfrontaliere france manche   angleterre 2007 2013  pour la region haute normandie"
"X77JLASM3W";"evaluation organisationnelle des structures de gestion des depistages organises des cancers en france metropolitaine et dans les departements d'outre mer collectivites d'outre mer exclues "
"03IEWXEMC1";"evaluation du contrat de developpement de pays rhone alpes et elaboration du prochain projet territorial de developpement durable des pays du forez a champdieu"
"XAXUWUMW5B";"mission d'evaluation d'aide economique du conseil regional de picardie : l'aide au recrutement de cadres   la description detaillee des prestations  objet du present marche  est definie"
"FB3DCTBZFB";"mission d'evaluation de la mise en oeuvre a mi parcours de la delegation des aides a la pierre 2006 2008 sur le territoire de delegation du departement du loiret"
"O3ZMZ1OJ2Z";"evaluation de l'agenda 21 regional pour le cg des pays de la loire a nantes"
"Q3YUVO7LUO";"etude sur les quartiers durables en basse normandie : etat des lieux  referentiel  faisabilite  suivi  evaluation et preconisations a caen"
"0E1GC08D1B";"evaluation de l'axe culture de 4 contrats communautaires de developpement et l'elaboration de preconisations d'evolution pour le compte du conseil general a pau"
"L1KUNZJ9ER";"evaluation du contrat de projets etat region et du programme operationnel competitivite regionale et emploi feder relative a l'egalite entre les femmes et les hommes en region franche comte"
"1GVWEV2WRH";"organisation de l'evaluation du programme departemental d'insertion et de la participation des allocataires du rsa au dispositif d'insertion parisien "
"JMFCF7S7Q2";"etat initial de l'environnement et evaluation environnementale"
"Q432DYCIU3";"etude impact rip  etude portant sur l'evaluation de l'impact territorial des reseaux de communication electronique d'initiative publique paris"
"P5GP57V1X1";"mission d'evaluation des candidatures des collectivites de la region provence alpes cote d'azur a l'appellation  collectivites laureates agir pour l'energie  a marseille"
"H158K9ABLH";"mission d'assistance a maitrise d'ouvrage pour l'evaluation et la faisabilite financiere du projet urbain du pole d'echanges multimodal de toulouse matabiau"
"B1K4IVQRYD";"evaluation des partenariats de cooperation decentralisee pour le conseil regional a limoges"
"I84XWE8HQO";"quartier la horie   evaluation du potentiel geothermique de l'emprise a bourscheid"
"1GU0JQAQC4";"mission d'etude sur l'etat initial de l'environnement et l'evaluation environnementale du scot du pays d'aix a aix en provence"
"A97GVPZYJW";"mise en application du modele crt d'evaluation de l'impact economique et socioculturel des musees du nord pas de calais a lille"
"6KNVNZ6YE9";"evaluation prealable a l'emploi des beneficiaires du rsa a nantes"
"R2GHUPPAXD";"etude d'evaluation de la duree de vie des equipements pyrotechniques du mica a bagneux"
"SLFIENKUAP";"realisation d'une etude complementaire de l'evaluation environnementale du plu"
"FUIME6VYNC";"evaluation du contrat urbain de cohesion sociale 2007 2009 et elaboration du futur contrat 2011 2013  a montfermeil"
"RHGRGIW1KT";"evaluation du plan regional de sante publique en midi pyrenees a toulouse cedex 9"
"7PB88Y1FYD";"evaluation de la fonction sociale et educative de l'animation sportive municipale  a nantes cedex 1"
"IBU2XWT5B9";"elaboration de deux outils d'evaluation de l'impact carbone pour la creation et pour l'exploitation d'un espace vert "
"WL5CT269C1";"etude du cadre de fonctionnement de la police municipale de la ville de nancy et l'evaluation de son organisation"
"D2SF1TOZ3Q";"evaluation de la valorisation des resultats de la recherche publique et ou privee au profit des entreprises et en particulier des pme tpe a caen"
"T3Q6WLDV9P";"evaluation du dre a tarbes cedex"
"6AWTL8HTW9";"elaboration de fiches d'information sur les sites en auvergne dans le cadre de l'aide a l'evaluation des incidences natura 2000 a clermont ferrand cedex"
"3G0APQ99IO";"bilan d'evaluation et d'orientation professionnelle a epinal"
"83KZ8BEFHI";"etude sur l'evaluation des candidatures francaises aux jeux olympiques"
"4J9LTQG8O5";"mission d'evaluation environnementale du schema de coherence territoriale scot de la communaute de communes de la presqu'ile de rhuys a sarzeau"
"UX3827YMYB";"evaluation des ressources educatives en ligne dans les lycees picards"
"B5HOMY4JYR";"le present marche a pour objet la realisation de l'evaluation de la charte de conditionnalite des aides aux entreprises mise en place par la region des pays de la loire "
"1Y1FRPFN1A";"evaluation des retombees mediatiques  economiques et touristiques de l'edition 2008 2009 du vendee globe pour le departement de la vendee"
"XIAEVGXL1R";"evaluation finale du plan de deplacements urbains de l'agglomeration nantaise"
"4SE6XFSFXZ";"evaluation de la conformite du traitement des appels par le dispositif de renseignement administratif  asp 39 39  et des courriels sur service public fr a paris cedex 07"
"7Z1DJS321L";"plan local d'urbanisme   evaluation des incidences du document d'urbanisme sur l'environnement"
"IOQ6DXW7S9";"mission d'evaluation des charges de travail dans les services du departement de la sarthe au mans"
"3MYZGS0CX3";"evaluation du reseau de sante d'hematologie et d'oncologie pediatrique pour le compte de la mission regionale de sante de la region provence alpes cote d'azur a marseille"
"JS78FBHWCD";"evaluation environnementale dans le cadre du plu  a avignon cedex 09"
"LXVCKT7U8O";"mission d'accompagnement a l'evaluation du contrat urbain et du projet urbain de cohesion sociale de l'agglomeration dijonnaise a dijon"
"ACUM1HSO96";"evaluation du contrat urbain de cohesion sociale d'angers  trelaze et de l'agglomeration 2007 2009   le contrat urbain de cohesion sociale cucs d'angers  trelaze et d'agglomerati"
"C00PWINUNL";"evaluation et analyse de la gestion du suivi et de l'impact du premier appel a projets de recherche d'era  envhealth pour l'anses a maisons alfort"
"GERR49TDJR";"evaluation du plan regional de sante publique prsp de champagne ardenne a chalons en champagne"
"Q68Z6W9T0H";"evaluation de l'impact de la mise en oeuvre de l'oru sur les habitants et accompagnement social des proprietaires concernes par la d u p  a deuil la barre"
"OR05IH2VWW";"evaluation de l'organisation de la sous direction du permis de construire et du paysage de la rue sdpcp de la ville de paris et propositions d'optimisation"
"10D7V0XAQT";"evaluation du pole regional d'education et de formation au cinema et a l'audiovisuel en aquitaine   bordeaux"
"DFLZ6Z5OBK";"enquete pour l'evaluation de l'impact du billet unique sur la frequentation du centre pompidou a paris"
"4NU2I2ET7D";"etude d'evaluation intermediaire d'un programme de developpement economique  a saint cyr sur mer"
"KB0S1OBC00";"evaluation finale de dialectic a fort de france"
"UOOARX5KUS";"evaluation du contrat urbain de cohesion sociale"
"P5G6QMJUOO";"40 2011 evaluation du fsp 03 43 pad maroc"
"BYI22CNOUG";"realisation de l'evaluation de trois plans de protection de l'atmosphere ppa de la region nord pas de calais : lille  valenciennes  lens bethune douai"
"2MIFKZH4SY";"evaluation du dispositif cheque livre lyceen"
"WZTZ25YT24";"realisation d'une campagne d'evaluation des nuisances olfactives a l'installation de stockage de dechets non dangereux de noth  a noth"
"EKX49LQG5G";"evaluation de l'indemnite particuliere de sujetion et d'installation ipsi"
"037DZNYHGA";"evaluation de la prise en consideration de l'egalite des chances entre les femmes et les hommes comme priorite transversale dans le cadre du po feder et du cper de basse normandie 2007 2013"
"Z5UQQ2CCVW";"evaluation prealable pour ppp sur champs solaires"
"E93DRY266H";"temple du change   diagnostic et etudes d'evaluation mission d'assistance au maitre d'ouvrage  au moyen age  la place du change etait le lieu ou se tenaient les foires  les echanges com"
"967R6P995O";"audit d'evaluation de performance et de conseil sur le dispositif d'aide sociale d'aulnay sous bois  a aulnay sous bois cedex"
"3YLV0RYC20";"demarche evaluative de l'experimentation de la maison du departement de guingamp a guingamp"
"F26T1SJ0TR";"mission d'accompagnement de la mission t2a dans l'appui a l'evaluation et a l'optimisation des processus de codage de l'information medicale des 3 ch de guyane"
"7FWAW7VJVH";"mission d'evaluation a mi parcours du programme local de l'habitat et de la delegation de competences des aides a la pierre sur laval agglomeration"
"E3P8C6JXXE";"mise en oeuvre de la revision du plu   realisation d'une evaluation environnementale a raimbeaucourt"
"P1KE3YTAQF";"evaluation des dispositifs d'accompagnement et de financement dits d'ingenierie financiere "
"IOSE8Z1FDF";"assistance a l'evaluation du projet du centre social georges brassens a beziers cedex"
"5TIDLLA56A";"etude d'evaluation de la cooperation decentralisee entre la communaute d'agglomeration de cergy pontoise et la ville de porto novo"
"ABWLYC0CH4";"evaluation de sites internet"
"MZJA6LRM6E";"evaluation finale fsp 2005 18 aspic"
"B4NF5ST6JU";"evaluation de la cooperation seine maritime france   province du bam burkina faso sur la periode 2007   2011"
"S24Q4YFYBI";"evaluation de l'aide regionale aux internes en medecine generale "
"PUF4BS0UUK";"assistance et conseils techniques   evaluation preable a la mise en oeuvre des contrats de partenariats public prive  a tampon"
"6BRROEZTO3";"etude  bilan  evaluation et prospective du contrat de protection de la nappe de nort sur erdre "
"ZDV7OXG2SA";"evaluation des projets de developpement presentes par des entreprises dans le cadre des aides economiques du conseil general des vosges  a epinal"
"GUQWSXW436";"etude d'evaluation des moyens d'insertion sur le territoire et proposition d'organisation nouvelle a ronchin"
"EY3O3HJ8ML";"evaluation relative a la mobilisation des aides aux actions collectives par les filieres economiques"
"WS1ABJON2V";"etude bilan  evaluation et prospective du contrat de riviere vallee de la veyre et lac d'aydat a saint saturnin"
"FIV1R109FH";"etudes en 4 phases definies comme suit :1: evaluation initiale  2: evaluation de la strategie  3: evaluation des objectifs 4: rapport final de l'evaluation ex ante et environnementale a rouen"
"B1HYN687M1";"evaluation de l'action conduite par l'association du centre francois mauriac de malagar"
"LFM24N6OMP";"etude d'evaluation des incidences natura 2000 dans le cadre de la mise en oeuvre de la servitude de passage des pietons sur le littoral sur la commune de concarneau a quimper"
